artifact_id,symbol,input_pattern,target_pattern,damage_type
A01,A,0011010001111111000110001,0111010001111111000110001,missing_top_left
A02,A,0111010001100011000110001,0111010001111111000110001,missing_crossbar
A03,A,0011010001110111000100001,0111010001111111000110001,multiple_damage
B01,B,1110010001111101000111110,1111010001111101000111110,missing_upper_curve
B02,B,1111010001100001000111110,1111010001111101000111110,missing_middle
B03,B,1110010001101101000110110,1111010001111101000111110,multiple_damage
C01,C,0011110000100001000001111,0111110000100001000001111,missing_top
C02,C,0111110000100001000000111,0111110000100001000001111,missing_bottom
C03,C,0011110000100000000001101,0111110000100001000001111,multiple_damage
D01,D,1110010001100011000111110,1111010001100011000111110,missing_top_right
D02,D,1111010001100011000111100,1111010001100011000111110,missing_bottom_right
D03,D,1110010001000011000111100,1111010001100011000111110,multiple_damage
E01,E,1011110000111101000011111,1111110000111101000011111,missing_top
E02,E,1111110000100001000011111,1111110000111101000011111,missing_middle
E03,E,1011110000101101000011001,1111110000111101000011111,multiple_damage
F01,F,1110010000111101000010000,1111110000111101000010000,missing_top_right
F02,F,1111110000101101000010000,1111110000111101000010000,missing_middle
F03,F,1011110000101000000010000,1111110000111101000010000,multiple_damage
G01,G,0111010000101111000101111,0111110000101111000101111,missing_top_right
G02,G,0111110000100111000101111,0111110000101111000101111,missing_inner
G03,G,0011110000100110000101011,0111110000101111000101111,multiple_damage
H01,H,1000110001100011000110001,1000110001111111000110001,missing_crossbar
H02,H,0000110001111111000110001,1000110001111111000110001,missing_left_top
H03,H,1000000001110111000100001,1000110001111111000110001,multiple_damage
